NO_TRACE                                   | Landon Carter (1710-1778) [US-VA] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Robert Carter (1663-1732) [US-VA] canon=14/0 lead=26/0
NAMESAKES_ONLY (absent for intended)       | Samuel A. Cartwright (1793-1863) [US] canon=1/0 lead=2/0
NAMESAKES_ONLY (absent for intended)       | Lewis Cass (1782-1866) [US-MI] canon=2/0 lead=6/0
NO_TRACE                                   | Girolamo Cassar (1520-1592) [Malta] canon=0/0 lead=0/0
NO_TRACE                                   | Cato the Elder (-234--149) [Rome] canon=0/0 lead=0/0
NO_TRACE                                   | Pietru Caxaro (?-1485) [Malta] canon=0/0 lead=0/0
NO_TRACE                                   | Carlos Manuel de Cespedes (1819-1874) [Cuba] canon=0/0 lead=0/0
NO_TRACE                                   | Auguste Chouteau (1750-1829) [US-MO] canon=0/0 lead=0/0
NO_TRACE                                   | Pierre Chouteau (1758-1849) [US-MO] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Cicero (-106--43) [Rome] canon=29/0 lead=60/0
NAMESAKES_ONLY (absent for intended)       | William Clark (1770-1838) [US-MO] canon=42/0 lead=60/0
NAME_HIT_UNRESOLVED (no year to disambiguate) | Nancy Clarke (?-?) [Barbados] canon=1/0 lead=2/0
NAMESAKES_ONLY (absent for intended)       | Henry Clay (1777-1852) [US-KY] canon=23/0 lead=60/0
NAMESAKES_ONLY (absent for intended)       | Howell Cobb (1815-1868) [US-GA] canon=2/0 lead=6/0
NAMESAKES_ONLY (absent for intended)       | Edward Coles (1786-1868) [US-IL] canon=1/0 lead=1/0
NO_TRACE                                   | Amaryllis Collymore (1745-1828) [Barbados] canon=0/0 lead=0/0
NO_TRACE                                   | Alfred H. Colquitt (1824-1894) [US-GA] canon=0/0 lead=0/0
NO_TRACE                                   | Edward Colston (1636-1711) [England] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Christopher Columbus (1451-1506) [Genoa/Spain] canon=1/0 lead=3/0
NO_TRACE                                   | Confucius (?-?) [China] canon=0/0 lead=0/0
NO_TRACE                                   | Hernan Cortes (1485-1547) [Spain/Mexico] canon=0/0 lead=0/0
NO_TRACE                                   | Therese de Couagne (1697-1764) [Canada] canon=0/0 lead=0/0
NO_TRACE                                   | Robert Davers (1620-1684) [England/Barbados] canon=0/0 lead=0/0
NO_TRACE                                   | Robert Davers (1653-1722) [England/Barbados] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Jefferson Davis (1807-1889) [US-MS] canon=1/0 lead=2/0
NAMESAKES_ONLY (absent for intended)       | Joseph Davis (1784-1870) [US-MS] canon=21/0 lead=43/0
NAMESAKES_ONLY (absent for intended)       | Sam Davis (1842-1863) [US-TN] canon=30/0 lead=60/0
NAMESAKES_ONLY (absent for intended)       | Francisco Paulo de Almeida (1826-1901) [Brazil] canon=29/0 lead=13/0
NO_TRACE                                   | James De Lancey (1703-1760) [US-NY] canon=0/0 lead=0/0
NO_TRACE                                   | James De Lancey (1746-1804) [US-NY/Canada] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Abraham de Peyster (1657-1728) [US-NY] canon=1/0 lead=1/0
NO_TRACE                                   | Demosthenes (-384--322) [Greece] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Henry Denny Denson (1715-1780) [Canada-NS] canon=1/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | Jean Noel Destrehan (1754-1823) [US-LA] canon=3/0 lead=3/0
NAMESAKES_ONLY (absent for intended)       | Thomas Roderick Dew (1802-1846) [US-VA] canon=13/0 lead=12/0
NAMESAKES_ONLY (absent for intended)       | John Dickinson (1732-1808) [US-PA] canon=7/0 lead=7/0
NAMESAKES_ONLY (absent for intended)       | Albert Baldwin Dod (1805-1845) [US-NJ] canon=0/0 lead=1/0
NO_TRACE                                   | Henry Dodge (1782-1867) [US-WI] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Domingos Malaquias de Aguiar Pires Ferreira (1788-1859) [Brazil] canon=11/0 lead=3/0
NO_TRACE                                   | Thomas Dorland (1759-1832) [Canada] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Stephen A. Douglas (1813-1861) [US-IL] canon=2/0 lead=2/0
NAMESAKES_ONLY (absent for intended)       | Richard Duncan (?-1819) [Canada] canon=1/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | Stephen Duncan (1787-1867) [US-MS] canon=1/0 lead=0/0
NO_TRACE                                   | Robley Dunglison (1798-1869) [US-VA] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | John Early (1786-1873) [US-VA] canon=2/0 lead=4/0
NAMESAKES_ONLY (absent for intended)       | Jonathan Edwards (1703-1758) [US] canon=1/0 lead=1/0
NO_TRACE                                   | Ninian Edwards (1775-1833) [US-IL] canon=0/0 lead=0/0
NO_TRACE                                   | Matthew Elliott (1739-1814) [Canada] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | George Ellis (1753-1815) [England/Jamaica] canon=8/0 lead=9/0
NAMESAKES_ONLY (absent for intended)       | William Ellison (1790-1861) [US-SC] canon=8/0 lead=32/0
NO_TRACE                                   | Adrien d'Epinay (1794-1839) [Mauritius] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Edwin Epps (1808-?) [US-LA] canon=1/0 lead=2/0
NO_TRACE                                   | Erchinoald (?-658) [France] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Mary Faber (1798-?) [Guinea] canon=2/0 lead=2/0
NAMESAKES_ONLY (absent for intended)       | Peter Faneuil (1700-1743) [US-MA] canon=2/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | Benjamin Farar Sr. (?-1790) [US] canon=3/0 lead=2/0
NO_TRACE                                   | Rebecca Latimer Felton (1835-1930) [US-GA] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Antonio Pires Ferreira (1799-1877) [Brazil] canon=47/0 lead=5/0
NO_TRACE                                   | Eliza Fenwick (1767-1840) [UK/Barbados] canon=0/0 lead=0/0
NO_TRACE                                   | Fernando Pires Ferreira (1842-1907) [Brazil] canon=0/0 lead=0/0
NO_TRACE                                   | Firmino Pires Ferreira (1848-1930) [Brazil] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Joaquim Pires Ferreira (1761-?) [Brazil] canon=49/0 lead=15/0
NAMESAKES_ONLY (absent for intended)       | Jose Pires Ferreira (1757-?) [Brazil] canon=60/0 lead=4/0
NO_TRACE                                   | Nathan Bedford Forrest (1821-1877) [US-TN] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | John Forsyth (1780-1841) [US-GA] canon=6/0 lead=4/0
NAMESAKES_ONLY (absent for intended)       | Benjamin Franklin (1706-1790) [US-PA] canon=8/0 lead=29/0
NAMESAKES_ONLY (absent for intended)       | Isaac Franklin (1789-1846) [US-TN] canon=2/0 lead=2/0
NO_TRACE                                   | Tacitus Gaillard (1718-1786) [US-SC] canon=0/0 lead=0/0
NO_TRACE                                   | Ana Gallum (?-?) [US-FL] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | James Garland (1791-1885) [US-VA] canon=3/0 lead=3/0
NO_TRACE                                   | Horatio Gates (1727-1806) [US] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | John Gladstone (1764-1851) [UK/Jamaica] canon=2/0 lead=6/0
NO_TRACE                                   | Estevao Gomes (1483-1538) [Portugal] canon=0/0 lead=0/0
NO_TRACE                                   | Antao Goncalves (?-?) [Portugal] canon=0/0 lead=0/0
NO_TRACE                                   | Ulysses S. Grant (1822-1885) [US] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Robert Isaac Dey Gray (1772-1804) [Canada] canon=13/0 lead=21/0
NO_TRACE                                   | Curtis Grubb (1730-1789) [US-PA] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | James Henry Hammond (1807-1864) [US-SC] canon=6/0 lead=7/0
NAMESAKES_ONLY (absent for intended)       | Wade Hampton (1752-1835) [US-SC] canon=7/0 lead=13/0
NAMESAKES_ONLY (absent for intended)       | Wade Hampton (1791-1858) [US-SC] canon=7/0 lead=13/0
NAMESAKES_ONLY (absent for intended)       | Wade Hampton (1818-1902) [US-SC] canon=7/0 lead=13/0
NAMESAKES_ONLY (absent for intended)       | John Hancock (1737-1793) [US-MA] canon=19/0 lead=24/0
NAMESAKES_ONLY (absent for intended)       | Benjamin Harrison (1693-1745) [US-VA] canon=3/0 lead=14/0
NAMESAKES_ONLY (absent for intended)       | Benjamin Harrison (1726-1791) [US-VA] canon=3/0 lead=14/0
NAMESAKES_ONLY (absent for intended)       | Benjamin Hawkins (1754-1816) [US-NC] canon=2/0 lead=2/0
CANDIDATE (canonical sig-match, gated)     | William Henry Harrison (1773-1841) [US] canon=45/2 lead=59/0
NAMESAKES_ONLY (absent for intended)       | Patrick Henry (1736-1799) [US-VA] canon=17/0 lead=29/0
NO_TRACE                                   | Thomas Heyward Jr. (1746-1809) [US-SC] canon=0/0 lead=0/0
NO_TRACE                                   | George Hibbert (1757-1837) [England/Jamaica] canon=0/0 lead=0/0
NO_TRACE                                   | Thomas Hibbert (1710-1780) [England/Jamaica] canon=0/0 lead=0/0
NO_TRACE                                   | Eufrosina Hinard (1777-?) [US-LA] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Thomas C. Hindman (1828-1868) [US-AR] canon=2/0 lead=1/0
NO_TRACE                                   | Arthur William Hodge (1763-1811) [BVI] canon=0/0 lead=0/0
NO_TRACE                                   | Jean-Francois Hodoul (1765-1835) [France/Mauritius] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Johns Hopkins (1795-1873) [US-MD] canon=1/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | Sam Houston (1793-1863) [US-TX] canon=8/0 lead=9/0
NAMESAKES_ONLY (absent for intended)       | Abijah Hunt (1762-1811) [US-MS] canon=3/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | David Hunt (1779-1861) [US-MS] canon=12/0 lead=13/0
NAMESAKES_ONLY (absent for intended)       | Margaret Hutton (1727-1797) [US-PA] canon=2/0 lead=0/0
NO_TRACE                                   | Ibn Battuta (1304-1368) [Morocco] canon=0/0 lead=0/0
NO_TRACE                                   | Emina Ilhamy (1858-1931) [Egypt] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Andrew Jackson (1767-1845) [US-TN] canon=15/0 lead=60/0
CANDIDATE (canonical sig-match, gated)     | William James (1791-1861) [England] canon=60/1 lead=60/0
NAMESAKES_ONLY (absent for intended)       | William Jarvis (1756-1817) [Canada] canon=6/0 lead=8/0
NAMESAKES_ONLY (absent for intended)       | Peter Jefferson (1708-1757) [US-VA] canon=1/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | Thomas Jefferson (1743-1826) [US-VA] canon=12/0 lead=50/0
NAMESAKES_ONLY (absent for intended)       | Thomas Jeremiah (?-1775) [US-SC] canon=0/0 lead=2/0
NAMESAKES_ONLY (absent for intended)       | Andrew Johnson (1808-1875) [US-TN] canon=11/0 lead=32/0
NAMESAKES_ONLY (absent for intended)       | William King (1812-1895) [Canada] canon=25/0 lead=40/0
NO_TRACE                                   | Anna Kingsley (1793-1870) [US-FL] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Zephaniah Kingsley (1765-1843) [US-FL] canon=2/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | James Knight (1640-1721) [England/Canada] canon=9/0 lead=10/0
NO_TRACE                                   | Cristovao Lins (1529-?) [Brazil] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | James Ladson (1753-1812) [US-SC] canon=2/0 lead=5/0
NAMESAKES_ONLY (absent for intended)       | James H. Ladson (1795-1868) [US-SC] canon=2/0 lead=5/0
NAMESAKES_ONLY (absent for intended)       | Henry Laurens (1724-1792) [US-SC] canon=4/0 lead=2/0
NO_TRACE                                   | Delphine LaLaurie (1787-1849) [US-LA] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | John Lamont (1782-1850) [Scotland/Trinidad] canon=1/0 lead=1/0
NO_TRACE                                   | Marie Laveau (1801-1881) [US-LA] canon=0/0 lead=0/0
NO_TRACE                                   | Fenda Lawrence (1742-?) [Africa/Saloum] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Richard Bland Lee (1761-1827) [US-VA] canon=10/0 lead=12/0
NAMESAKES_ONLY (absent for intended)       | Robert E. Lee (1807-1870) [US-VA] canon=22/0 lead=32/0
NAMESAKES_ONLY (absent for intended)       | William Lenoir (1751-1839) [US-NC] canon=1/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | William Ballard Lenoir (1775-1852) [US-TN] canon=1/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Uriah P. Levy (1792-1862) [US-VA] canon=1/0 lead=1/0
